,n_estimators,min_samples_split,min_samples_leaf,max_depth,max_samples,f1_scores
s0_horz,8.0,12.0,5.0,100.0,0.8,0.8004956139534082
s0_vert,50.0,8.0,7.0,100.0,0.6,0.8093568696913309
s1_horz,50.0,14.0,11.0,75.0,0.8,0.7978374836674927
s1_vert,10.0,30.0,5.0,25.0,0.6,0.7777884300167972
s2_horz,25.0,22.0,9.0,75.0,0.8,0.8676232434952673
s2_vert,50.0,26.0,1.0,75.0,0.7,0.8662709004702135
s3_horz,75.0,38.0,5.0,50.0,0.9,0.8153428264031749
s3_vert,50.0,20.0,13.0,75.0,0.8,0.8117751083492305
s4_horz,50.0,24.0,7.0,25.0,0.9,0.7246282866178013
s4_vert,75.0,36.0,5.0,50.0,0.7,0.7253693441363882
s5_horz,75.0,20.0,5.0,75.0,0.8,0.7254682178358769
s5_vert,75.0,32.0,7.0,100.0,0.5,0.7165350243456314
s6_horz,100.0,16.0,5.0,75.0,0.6,0.7081507687534445
s6_vert,100.0,32.0,5.0,50.0,0.6,0.7021697228550743
