videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,16,64,0,0,15,63,2,1,1,BI_HORZ,4227178,4227178,0,3466.890380859375,543.515625,8640.0,53728.0,0.16081000595592615,556560.0,827.9096069335938,553.2734375,6656.0,12416.0,0.5360824742268041,283276.0,5915.441345214844,533.7578125,1984.0,42112.0,0.047112462006079034,273284.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,0,0,15,63,2,1,1,BI_HORZ,1881319,1881319,0,3466.890380859375,543.515625,8640.0,53728.0,0.16081000595592615,556560.0,827.9096069335938,553.2734375,6656.0,12416.0,0.5360824742268041,283276.0,5915.441345214844,533.7578125,1984.0,42112.0,0.047112462006079034,273284.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,0,0,15,63,2,1,1,BI_HORZ,1130816,1130816,0,3466.890380859375,543.515625,8640.0,53728.0,0.16081000595592615,556560.0,827.9096069335938,553.2734375,6656.0,12416.0,0.5360824742268041,283276.0,5915.441345214844,533.7578125,1984.0,42112.0,0.047112462006079034,273284.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,0,0,15,63,3,1,1,BI_HORZ,2894257,2894257,0,3461.1233978271484,543.42578125,8320.0,53856.0,0.15448603683897802,556468.0,840.029052734375,553.046875,6368.0,12608.0,0.5050761421319797,283160.0,5897.086853027344,533.8046875,1952.0,41984.0,0.04649390243902439,273308.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,0,64,15,127,1,1,1,BI_HORZ,3077395,3077395,0,9522.089294433594,379.2265625,62528.0,57728.0,1.083148558758315,388328.0,13695.52734375,402.3125,45088.0,8992.0,5.014234875444839,205984.0,4282.730224609375,356.140625,17440.0,49312.0,0.3536664503569111,182344.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,0,64,15,127,1,1,1,BI_HORZ,1684392,1684392,0,9522.089294433594,379.2265625,62528.0,57728.0,1.083148558758315,388328.0,13695.52734375,402.3125,45088.0,8992.0,5.014234875444839,205984.0,4282.730224609375,356.140625,17440.0,49312.0,0.3536664503569111,182344.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,0,64,15,127,2,1,2,BI_HORZ,5309924,5309924,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,0,64,15,127,2,1,1,BI_HORZ,2686326,2686326,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,0,64,15,127,2,1,2,BI_HORZ,2686326,2686326,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,0,64,15,127,2,1,1,BI_HORZ,1723473,1723473,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,0,64,15,127,2,1,2,BI_HORZ,1723473,1723473,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,16,64,0,64,15,127,2,1,1,BI_HORZ,1352876,1352876,0,9507.524032592772,379.39453125,62400.0,57632.0,1.0827318156579675,388500.0,13660.242126464844,402.5078125,44928.0,8768.0,5.124087591240876,206084.0,4286.3583984375,356.28125,17472.0,49344.0,0.3540856031128405,182416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,0,64,15,127,3,1,1,BI_HORZ,3727454,3727454,0,9522.672790527344,379.3046875,62272.0,57760.0,1.0781163434903047,388408.0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,4277.37109375,356.5625,17376.0,49216.0,0.3530559167750325,182560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,0,64,15,127,3,1,2,BI_HORZ,3727454,3727454,0,9522.672790527344,379.3046875,62272.0,57760.0,1.0781163434903047,388408.0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,4277.37109375,356.5625,17376.0,49216.0,0.3530559167750325,182560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,0,64,15,127,3,1,1,BI_HORZ,1841212,1841212,0,9522.672790527344,379.3046875,62272.0,57760.0,1.0781163434903047,388408.0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,4277.37109375,356.5625,17376.0,49216.0,0.3530559167750325,182560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,0,64,15,127,3,1,1,BI_HORZ,1427068,1427068,0,9522.672790527344,379.3046875,62272.0,57760.0,1.0781163434903047,388408.0,13733.560302734375,402.046875,44896.0,8992.0,4.99288256227758,205848.0,4277.37109375,356.5625,17376.0,49216.0,0.3530559167750325,182560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,16,64,31,127,2,1,2,BI_HORZ,5424177,5424177,0,17020.218505859375,443.015625,36256.0,1792.0,20.232142857142858,453648.0,25508.327087402344,442.8203125,58784.0,64256.0,0.9148406374501992,226724.0,8532.033630371094,443.2109375,43008.0,3008.0,14.297872340425535,226924.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,16,64,31,127,2,1,2,BI_HORZ,2380784,2380784,0,17020.218505859375,443.015625,36256.0,1792.0,20.232142857142858,453648.0,25508.327087402344,442.8203125,58784.0,64256.0,0.9148406374501992,226724.0,8532.033630371094,443.2109375,43008.0,3008.0,14.297872340425535,226924.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,16,64,31,127,2,1,2,BI_HORZ,1593266,1593266,0,17020.218505859375,443.015625,36256.0,1792.0,20.232142857142858,453648.0,25508.327087402344,442.8203125,58784.0,64256.0,0.9148406374501992,226724.0,8532.033630371094,443.2109375,43008.0,3008.0,14.297872340425535,226924.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,32,128,47,191,3,1,2,BI_HORZ,24016510,24016510,0,8791.687850952148,398.17578125,25504.0,46400.0,0.5496551724137931,407732.0,7274.4912109375,441.90625,14432.0,51488.0,0.2802983219390926,226256.0,6484.176696777344,354.4453125,11072.0,60800.0,0.18210526315789474,181476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,48,64,63,127,3,1,1,BI_HORZ,7082177,7082177,0,3971.08984375,292.1875,2592.0,53664.0,0.048300536672629686,299200.0,7053.017517089844,279.8828125,62784.0,52416.0,1.1978021978021978,143300.0,586.3515014648438,304.4921875,5344.0,64544.0,0.08279623202776401,155900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,48,64,63,127,3,1,1,BI_HORZ,2777543,2777543,0,3971.08984375,292.1875,2592.0,53664.0,0.048300536672629686,299200.0,7053.017517089844,279.8828125,62784.0,52416.0,1.1978021978021978,143300.0,586.3515014648438,304.4921875,5344.0,64544.0,0.08279623202776401,155900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,48,64,63,127,3,1,1,BI_HORZ,1849225,1849225,0,3971.08984375,292.1875,2592.0,53664.0,0.048300536672629686,299200.0,7053.017517089844,279.8828125,62784.0,52416.0,1.1978021978021978,143300.0,586.3515014648438,304.4921875,5344.0,64544.0,0.08279623202776401,155900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,64,0,79,63,1,1,1,BI_HORZ,8985348,8985348,0,33407.327575683594,452.9765625,25120.0,30048.0,0.8359957401490948,463848.0,1966.778259277344,564.0546875,55584.0,51776.0,1.073547589616811,288796.0,40171.177185058594,341.8984375,35072.0,51232.0,0.6845721424109932,175052.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,80,0,95,63,2,1,2,BI_HORZ,18162514,18162514,0,42348.493103027344,365.8046875,61280.0,44832.0,1.366880799428979,374584.0,27432.32592773437,492.546875,15104.0,12768.0,1.1829573934837092,252184.0,25137.49609375,239.0625,46176.0,34144.0,1.3523898781630739,122400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,16,64,80,0,95,63,2,1,2,BI_HORZ,1278170,1278170,0,42348.493103027344,365.8046875,61280.0,44832.0,1.366880799428979,374584.0,27432.32592773437,492.546875,15104.0,12768.0,1.1829573934837092,252184.0,25137.49609375,239.0625,46176.0,34144.0,1.3523898781630739,122400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
