videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,8,64,0,64,7,127,3,1,2,BI_VERT,2046864,2046864,0,9033.064880371094,378.7890625,62464.0,50656.0,1.2331017056222362,193940.0,8713.43359375,380.5625,8352.0,59360.0,0.14070080862533693,97424.0,9346.406005859377,377.015625,49952.0,56832.0,0.8789414414414415,96516.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,80,0,87,63,2,1,2,BI_VERT,7582968,7582968,0,41841.6865234375,329.03125,3776.0,48864.0,0.07727570399476097,168464.0,41441.2568359375,327.65625,61280.0,56768.0,1.0794813979706877,83880.0,42238.3349609375,330.40625,10176.0,57632.0,0.17656857301499168,84584.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,8,64,80,0,87,63,2,1,2,BI_VERT,507301,507301,0,41841.6865234375,329.03125,3776.0,48864.0,0.07727570399476097,168464.0,41441.2568359375,327.65625,61280.0,56768.0,1.0794813979706877,83880.0,42238.3349609375,330.40625,10176.0,57632.0,0.17656857301499168,84584.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,112,0,119,63,2,1,2,BI_VERT,2008057,2008057,0,1383.734375,560.125,32576.0,3328.0,9.788461538461537,286784.0,817.08984375,571.8125,1312.0,1376.0,0.9534883720930232,146384.0,1677.18359375,548.4375,34688.0,1952.0,17.770491803278688,140400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,120,0,127,63,2,1,2,BI_VERT,1719283,1719283,0,596.2396850585938,557.8984375,56384.0,224.0,251.7142857142857,285644.0,672.659912109375,560.390625,57536.0,160.0,359.6,143460.0,507.3974609375,555.40625,608.0,64.0,9.5,142184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,8,64,120,0,127,63,2,1,2,BI_VERT,303608,303608,0,596.2396850585938,557.8984375,56384.0,224.0,251.7142857142857,285644.0,672.659912109375,560.390625,57536.0,160.0,359.6,143460.0,507.3974609375,555.40625,608.0,64.0,9.5,142184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,256,0,263,63,2,1,2,BI_VERT,1640372,1640372,0,4637.989990234375,492.796875,64512.0,54112.0,1.192193968066233,252312.0,4459.21484375,493.1875,63424.0,60256.0,1.0525756771109929,126256.0,4816.4599609375,492.40625,1024.0,59392.0,0.017241379310344827,126056.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,256,128,263,191,2,1,2,BI_VERT,2041853,2041853,0,820.2943725585938,447.3984375,61728.0,63296.0,0.975227502527806,229068.0,877.245849609375,450.359375,61280.0,64416.0,0.951316443119722,115292.0,745.80859375,444.4375,224.0,64416.0,0.0034773969200198713,113776.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,64,256,128,263,191,2,1,2,BI_VERT,752830,752830,0,820.2943725585938,447.3984375,61728.0,63296.0,0.975227502527806,229068.0,877.245849609375,450.359375,61280.0,64416.0,0.951316443119722,115292.0,745.80859375,444.4375,224.0,64416.0,0.0034773969200198713,113776.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,296,0,303,63,2,1,2,BI_VERT,2098945,2098945,0,5107.261657714844,494.7421875,2432.0,64000.0,0.038,253308.0,4920.486083984375,495.328125,768.0,864.0,0.8888888888888888,126804.0,5293.3505859375,494.15625,1952.0,63136.0,0.03091738469336036,126504.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
