videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,8,32,32,96,39,127,2,2,2,QT_SPLIT,13509556,13509556,0,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,1684.234375,521.125,55456.0,64640.0,0.8579207920792079,33352.0,2076.93359375,439.4375,6752.0,64960.0,0.1039408866995074,28124.0,1570.234375,517.125,56000.0,320.0,175.0,33096.0,5414.33984375,385.1875,59456.0,63008.0,0.9436262061960388,24652.0
BasketballPass,27,416,240,8,32,32,96,39,127,2,2,1,QT_SPLIT,5892260,5892260,0,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,1684.234375,521.125,55456.0,64640.0,0.8579207920792079,33352.0,2076.93359375,439.4375,6752.0,64960.0,0.1039408866995074,28124.0,1570.234375,517.125,56000.0,320.0,175.0,33096.0,5414.33984375,385.1875,59456.0,63008.0,0.9436262061960388,24652.0
BasketballPass,22,416,240,8,32,32,160,39,191,3,2,1,QT_SPLIT,8178546,8178546,0,7614.200927734375,398.546875,17344.0,63008.0,0.27526663280853225,102028.0,2755.734375,496.875,54208.0,64928.0,0.8348940364711681,31800.0,5487.77734375,324.6875,47712.0,63712.0,0.748869914615771,20780.0,762.02734375,433.3125,58368.0,32.0,1824.0,27732.0,1610.27734375,339.3125,57376.0,1312.0,43.73170731707317,21716.0
BasketballPass,32,416,240,8,32,32,160,39,191,3,2,1,QT_SPLIT,1825743,1825743,0,7614.200927734375,398.546875,17344.0,63008.0,0.27526663280853225,102028.0,2755.734375,496.875,54208.0,64928.0,0.8348940364711681,31800.0,5487.77734375,324.6875,47712.0,63712.0,0.748869914615771,20780.0,762.02734375,433.3125,58368.0,32.0,1824.0,27732.0,1610.27734375,339.3125,57376.0,1312.0,43.73170731707317,21716.0
BasketballPass,22,416,240,8,32,40,96,47,127,2,2,2,QT_SPLIT,13509556,13509556,0,6980.116943359375,488.265625,19072.0,60896.0,0.3131897004729375,124996.0,760.234375,574.875,3488.0,63840.0,0.05463659147869674,36792.0,5591.0,444.0,42656.0,61888.0,0.6892450879007239,28416.0,555.83984375,525.1875,1984.0,64224.0,0.03089187842551071,33612.0,3906.5,409.0,46464.0,2400.0,19.36,26176.0
BasketballPass,22,416,240,8,32,48,96,55,127,2,2,2,QT_SPLIT,13509556,13509556,0,501.6787109375,303.09375,992.0,60384.0,0.016428192898781134,77592.0,118.5,307.0,64960.0,65152.0,0.9970530451866404,19648.0,42.4375,320.25,832.0,65408.0,0.012720156555772992,20496.0,644.734375,291.125,64000.0,63104.0,1.0141987829614605,18632.0,665.5,294.0,960.0,63424.0,0.01513622603430878,18816.0
BasketballPass,22,416,240,8,32,48,160,55,191,1,2,2,QT_SPLIT,7840101,7840101,0,1633.495849609375,293.640625,51776.0,352.0,147.0909090909091,75172.0,4605.83984375,313.1875,49728.0,62528.0,0.7952917093142272,20044.0,59.9375,281.75,32.0,65216.0,0.0004906771344455348,18032.0,596.83984375,289.1875,1312.0,2016.0,0.6507936507936508,18508.0,717.80859375,290.4375,65184.0,1952.0,33.39344262295082,18588.0
BasketballPass,22,416,240,8,32,56,96,63,127,2,2,2,QT_SPLIT,13509556,13509556,0,892.378662109375,306.609375,64832.0,2496.0,25.974358974358967,78492.0,1022.234375,317.125,63104.0,2112.0,29.87878787878788,20296.0,1603.30859375,305.5625,1248.0,4256.0,0.2932330827067669,19556.0,354.93359375,300.5625,544.0,63936.0,0.00850850850850851,19236.0,429.08984375,303.1875,256.0,63392.0,0.004038364462392731,19404.0
BasketballPass,27,416,240,8,32,56,96,63,127,2,2,1,QT_SPLIT,5892260,5892260,0,892.378662109375,306.609375,64832.0,2496.0,25.974358974358967,78492.0,1022.234375,317.125,63104.0,2112.0,29.87878787878788,20296.0,1603.30859375,305.5625,1248.0,4256.0,0.2932330827067669,19556.0,354.93359375,300.5625,544.0,63936.0,0.00850850850850851,19236.0,429.08984375,303.1875,256.0,63392.0,0.004038364462392731,19404.0
BasketballPass,32,416,240,8,32,56,96,63,127,2,2,1,QT_SPLIT,2924605,2924605,0,892.378662109375,306.609375,64832.0,2496.0,25.974358974358967,78492.0,1022.234375,317.125,63104.0,2112.0,29.87878787878788,20296.0,1603.30859375,305.5625,1248.0,4256.0,0.2932330827067669,19556.0,354.93359375,300.5625,544.0,63936.0,0.00850850850850851,19236.0,429.08984375,303.1875,256.0,63392.0,0.004038364462392731,19404.0
