videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,8,32,16,96,23,127,1,1,3,TRI_VERT,15382978,6039362,1,5078.484375,373.875,21088.0,256.0,82.375,95712.0,3135.55859375,364.4375,60064.0,62656.0,0.9586312563840652,23324.0,4096.52734375,362.6875,10208.0,2592.0,3.938271604938272,23212.0,3294.18359375,441.4375,8224.0,768.0,10.708333333333334,28252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,32,32,32,39,63,2,1,3,TRI_VERT,10760551,6987853,1,14387.4287109375,465.09375,26560.0,56480.0,0.4702549575070821,119064.0,4283.984375,541.875,64000.0,65120.0,0.9828009828009828,34680.0,11415.40234375,446.3125,48032.0,63072.0,0.7615423642820903,28564.0,20432.0,375.0,9024.0,60960.0,0.14803149606299212,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,32,32,64,39,95,1,1,3,TRI_VERT,14505684,11236926,1,11801.775146484375,446.921875,65088.0,64480.0,1.0094292803970224,114412.0,482.37109375,563.0625,64480.0,65056.0,0.9911460895228726,36036.0,1644.984375,432.125,45760.0,192.0,238.33333333333331,27656.0,731.40234375,285.6875,11104.0,64992.0,0.1708517971442639,18284.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,32,32,96,39,127,1,1,3,TRI_VERT,9757918,6647862,1,11332.8505859375,433.84375,3648.0,65024.0,0.056102362204724414,111064.0,781.21484375,544.1875,32.0,65376.0,0.0004894762604013706,34828.0,1281.80859375,421.5625,49504.0,65504.0,0.7557401074743527,26980.0,1007.25,275.5,13760.0,0.0,0.0,17632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,32,32,96,39,127,1,2,2,TRI_VERT,1871887,1871887,0,11332.8505859375,433.84375,3648.0,65024.0,0.056102362204724414,111064.0,781.21484375,544.1875,32.0,65376.0,0.0004894762604013706,34828.0,1281.80859375,421.5625,49504.0,65504.0,0.7557401074743527,26980.0,1007.25,275.5,13760.0,0.0,0.0,17632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,32,32,96,39,127,2,1,3,TRI_VERT,18986823,13259949,1,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,770.65234375,544.3125,65312.0,65280.0,1.0004901960784314,34836.0,1246.49609375,421.9375,49632.0,65440.0,0.7584352078239609,27004.0,7531.02734375,402.6875,27104.0,62400.0,0.4343589743589744,25772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,32,32,96,39,127,2,2,2,TRI_VERT,8319970,8319970,0,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,770.65234375,544.3125,65312.0,65280.0,1.0004901960784314,34836.0,1246.49609375,421.9375,49632.0,65440.0,0.7584352078239609,27004.0,7531.02734375,402.6875,27104.0,62400.0,0.4343589743589744,25772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,32,32,96,39,127,2,1,3,TRI_VERT,7801047,5417622,1,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,770.65234375,544.3125,65312.0,65280.0,1.0004901960784314,34836.0,1246.49609375,421.9375,49632.0,65440.0,0.7584352078239609,27004.0,7531.02734375,402.6875,27104.0,62400.0,0.4343589743589744,25772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,32,32,96,39,127,2,2,2,TRI_VERT,4357827,4357827,0,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,770.65234375,544.3125,65312.0,65280.0,1.0004901960784314,34836.0,1246.49609375,421.9375,49632.0,65440.0,0.7584352078239609,27004.0,7531.02734375,402.6875,27104.0,62400.0,0.4343589743589744,25772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,8,32,32,96,39,127,2,1,3,TRI_VERT,5306321,3684699,1,5908.5458984375,465.71875,42720.0,61696.0,0.6924273858921162,119224.0,770.65234375,544.3125,65312.0,65280.0,1.0004901960784314,34836.0,1246.49609375,421.9375,49632.0,65440.0,0.7584352078239609,27004.0,7531.02734375,402.6875,27104.0,62400.0,0.4343589743589744,25772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
