topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum,videoname,CU_width,CU_height
0.0,0.0,63.0,63.0,0.0,4191.008528709412,546.3525390625,16288.0,36576.0,0.4453193350831146,2237860.0,906.4413452148438,559.7578125,9088.0,28576.0,0.3180291153415454,1146384.0,7116.173000335693,532.947265625,7200.0,7264.0,0.9911894273127754,1091476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
64.0,0.0,127.0,63.0,0.0,29533.17095565796,474.673828125,62784.0,4928.0,12.74025974025974,1944264.0,8718.807968139648,544.69921875,60864.0,63328.0,0.9610914603335018,1115544.0,40540.423278808594,404.6484375,1920.0,16064.0,0.11952191235059761,828720.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
128.0,0.0,191.0,63.0,0.0,1298.7455444335938,549.2734375,45536.0,54112.0,0.8415138971023063,2249824.0,1595.8361473083496,550.318359375,58880.0,57088.0,1.031390134529148,1127052.0,999.4712181091309,548.228515625,52192.0,61856.0,0.8437661665804449,1122772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
192.0,0.0,255.0,63.0,0.0,3294.5560913085938,499.8515625,58560.0,7648.0,7.656903765690377,2047392.0,3692.3880882263184,513.865234375,61888.0,22848.0,2.708683473389356,1052396.0,2503.958095550537,485.837890625,62208.0,54976.0,1.1315483119906868,994996.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
256.0,0.0,319.0,63.0,0.0,11739.852385520935,479.5458984375,63712.0,61728.0,1.0321410057024365,1964220.0,8004.208923339844,513.6328125,62336.0,50144.0,1.2431397574984047,1051920.0,13151.660427093506,445.458984375,1376.0,6336.0,0.21717171717171718,912300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
320.0,0.0,383.0,63.0,0.0,10230.154891967773,453.35546875,16992.0,8768.0,1.937956204379562,1856944.0,16703.85876083374,476.091796875,51424.0,12800.0,4.0175,975036.0,2722.5697898864746,430.619140625,31104.0,59360.0,0.5239892183288409,881908.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
0.0,64.0,63.0,127.0,0.0,13472.113669395447,410.1064453125,27904.0,41216.0,0.6770186335403726,1679796.0,16615.876205444336,421.72265625,30688.0,61888.0,0.49586349534643226,863688.0,10058.478420257568,398.490234375,62752.0,44160.0,1.4210144927536232,816108.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
64.0,64.0,127.0,127.0,0.0,21998.170226097107,430.3447265625,21696.0,47200.0,0.45966101694915257,1762692.0,29384.729919433594,445.2265625,22208.0,61472.0,0.3612701717855284,911824.0,14168.672451019287,415.462890625,65024.0,53248.0,1.2211538461538463,850868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
128.0,64.0,191.0,127.0,0.0,1104.2317876815796,542.9326171875,46688.0,47968.0,0.9733155436957972,2223852.0,1030.016414642334,547.736328125,57728.0,3360.0,17.18095238095238,1121764.0,1132.295883178711,538.12890625,54496.0,42848.0,1.2718446601941749,1102088.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
192.0,64.0,255.0,127.0,0.0,3469.420925140381,501.603515625,10144.0,3040.0,3.336842105263158,2054568.0,1831.7043724060059,507.708984375,64000.0,64192.0,0.9970089730807578,1039788.0,5032.583980560303,495.498046875,11680.0,896.0,13.035714285714286,1014780.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
256.0,64.0,319.0,127.0,0.0,25538.122299194336,441.77734375,58784.0,59680.0,0.9849865951742627,1809520.0,23469.83611679077,460.892578125,2080.0,12096.0,0.17195767195767195,943908.0,26875.624111175537,422.662109375,56704.0,34784.0,1.6301747930082797,865612.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,64,64
