topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum,videoname,CU_width,CU_height
0.0,0.0,31.0,15.0,0.0,870.2914428710938,550.2890625,4160.0,12864.0,0.32338308457711445,281748.0,836.364990234375,542.796875,3840.0,5408.0,0.7100591715976331,138956.0,791.9521484375,557.78125,544.0,7456.0,0.07296137339055794,142792.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
32.0,0.0,63.0,15.0,0.0,907.677490234375,555.203125,1152.0,3616.0,0.3185840707964602,284264.0,1262.964599609375,553.359375,62848.0,4544.0,13.830985915492958,141660.0,545.591552734375,557.046875,3072.0,64608.0,0.0475482912332838,142604.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
64.0,0.0,95.0,15.0,0.0,712.49609375,566.9375,65312.0,1824.0,35.80701754385965,290272.0,401.566162109375,568.609375,65440.0,63104.0,1.0370182555780934,145564.0,1017.835693359375,565.265625,96.0,4256.0,0.022556390977443608,144708.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
96.0,0.0,127.0,15.0,0.0,1958.5463256835938,553.0234375,63776.0,6976.0,9.142201834862385,283148.0,2011.281005859375,558.984375,63744.0,8640.0,7.377777777777778,143100.0,1834.74609375,547.0625,32.0,63872.0,0.000501002004008016,140048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
128.0,0.0,159.0,15.0,0.0,1935.7597045898438,559.6171875,1632.0,44288.0,0.03684971098265896,286524.0,1433.116943359375,556.265625,512.0,60256.0,0.008497079129049389,142404.0,2415.9365234375,562.96875,1024.0,49568.0,0.02065848934796643,144120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
160.0,0.0,191.0,15.0,0.0,3522.7982788085938,543.3515625,60320.0,9504.0,6.346801346801347,278196.0,3284.6318359375,556.34375,62784.0,3072.0,20.4375,142424.0,3423.370849609375,530.359375,63744.0,6432.0,9.91044776119403,135772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
192.0,0.0,223.0,15.0,0.0,4178.032653808594,512.3515625,64896.0,60256.0,1.0770047796070101,262324.0,3414.163818359375,514.765625,63072.0,6912.0,9.125,131780.0,4930.24609375,509.9375,1920.0,53344.0,0.035992801439712056,130544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
224.0,0.0,255.0,15.0,0.0,8880.692810058594,530.8984375,1952.0,13216.0,0.14769975786924938,271820.0,8896.310302734375,527.953125,2496.0,28256.0,0.08833522083805209,135156.0,8847.7255859375,533.84375,65248.0,50496.0,1.2921419518377693,136664.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
256.0,0.0,287.0,15.0,0.0,9148.1005859375,561.84375,1888.0,40608.0,0.046493301812450746,287664.0,8940.77734375,555.3125,3424.0,41088.0,0.08333333333333333,142160.0,9270.109375,568.375,63648.0,65056.0,0.9783571077225774,145504.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
288.0,0.0,319.0,15.0,0.0,13031.519470214844,540.7578125,63712.0,18368.0,3.4686411149825784,276868.0,13592.0615234375,544.96875,320.0,16800.0,0.01904761904761905,139512.0,12435.513427734375,536.546875,1152.0,1568.0,0.7346938775510204,137356.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
320.0,0.0,351.0,15.0,0.0,16372.243896484375,531.921875,59648.0,21856.0,2.7291361639824303,272344.0,14564.325927734375,533.453125,608.0,3456.0,0.17592592592592593,136564.0,18175.472412109375,530.390625,59456.0,18400.0,3.2313043478260868,135780.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
352.0,0.0,383.0,15.0,0.0,36234.171630859375,464.515625,56896.0,63808.0,0.8916750250752257,237832.0,44083.898193359375,467.265625,50816.0,28032.0,1.812785388127854,119620.0,28369.320068359375,461.765625,4800.0,35776.0,0.13416815742397137,118212.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
384.0,0.0,415.0,15.0,0.0,25227.75,469.25,2624.0,30688.0,0.08550573514077164,240256.0,24191.33984375,478.8125,3040.0,10784.0,0.2818991097922849,122576.0,26081.27734375,459.6875,65472.0,19904.0,3.289389067524116,117680.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
0.0,16.0,31.0,31.0,0.0,652.775146484375,567.078125,2400.0,11232.0,0.21367521367521367,290344.0,604.3271484375,563.78125,2880.0,6304.0,0.45685279187817257,144328.0,679.484375,570.375,32.0,4928.0,0.006493506493506494,146016.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
32.0,16.0,63.0,31.0,0.0,986.1000366210938,566.4609375,1024.0,1120.0,0.9142857142857143,290028.0,1311.234375,563.125,63296.0,64448.0,0.9821251241310824,144160.0,638.708740234375,569.796875,2048.0,2208.0,0.927536231884058,145868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
64.0,16.0,95.0,31.0,0.0,24749.5625,500.75,48288.0,6272.0,7.698979591836735,256384.0,886.7099609375,568.40625,61824.0,64032.0,0.9655172413793104,145512.0,39457.6787109375,433.09375,54560.0,7776.0,7.016460905349795,110872.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
96.0,16.0,127.0,31.0,0.0,4780.055114746094,558.0859375,10848.0,48192.0,0.2250996015936255,285740.0,9010.27734375,558.3125,13696.0,47488.0,0.2884097035040431,142928.0,549.730224609375,557.859375,62944.0,704.0,89.4090909090909,142812.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
128.0,16.0,159.0,31.0,0.0,174.20355224609375,553.5859375,64256.0,62656.0,1.0255362614913177,283436.0,143.7099609375,556.40625,1280.0,0.0,0.0,142440.0,188.788818359375,550.765625,63648.0,62656.0,1.015832482124617,140996.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
160.0,16.0,191.0,31.0,0.0,573.5458984375,544.71875,63168.0,4128.0,15.30232558139535,278896.0,367.679443359375,553.734375,64.0,1280.0,0.05,141756.0,616.849365234375,535.703125,64032.0,2848.0,22.48314606741573,137140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
192.0,16.0,223.0,31.0,0.0,308.337646484375,516.921875,63552.0,288.0,220.66666666666666,264664.0,305.625,520.5,62624.0,2560.0,24.4625,133248.0,285.4443359375,513.34375,672.0,63264.0,0.010622154779969651,131416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
224.0,16.0,255.0,31.0,0.0,755.6508178710938,495.2890625,62624.0,10976.0,5.705539358600583,253588.0,562.517333984375,505.671875,62752.0,4384.0,14.313868613138686,129452.0,733.1787109375,484.90625,65024.0,6592.0,9.864077669902912,124136.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
256.0,16.0,287.0,31.0,0.0,829.0214233398438,479.6328125,62848.0,6656.0,9.442307692307692,245572.0,1003.5380859375,482.84375,64512.0,1856.0,34.758620689655174,123608.0,633.884521484375,476.421875,64096.0,4800.0,13.353333333333333,121964.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
288.0,16.0,319.0,31.0,0.0,3083.474365234375,472.296875,65120.0,48000.0,1.3566666666666667,241816.0,2615.079833984375,475.671875,1472.0,47488.0,0.03099730458221024,121772.0,3529.087646484375,468.921875,64352.0,512.0,125.6875,120044.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
320.0,16.0,351.0,31.0,0.0,3342.1576538085938,452.3515625,64352.0,63904.0,1.0070105157736604,231604.0,3263.913818359375,457.234375,63296.0,3136.0,20.183673469387756,117052.0,3372.7177734375,447.46875,1152.0,60768.0,0.018957345971563982,114552.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
352.0,16.0,383.0,31.0,0.0,6631.447021484375,455.578125,59296.0,17856.0,3.3207885304659497,233256.0,6211.577880859375,467.515625,63264.0,34752.0,1.8204419889502763,119684.0,6766.308349609375,443.640625,61632.0,48640.0,1.2671052631578947,113572.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
384.0,16.0,415.0,31.0,0.0,486.88079833984375,400.6328125,63296.0,1952.0,32.42622950819672,205124.0,474.2021484375,406.21875,64160.0,1504.0,42.659574468085104,103992.0,437.154052734375,395.046875,64448.0,448.0,143.85714285714286,101132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
0.0,32.0,31.0,47.0,0.0,7909.536071777344,528.5546875,2240.0,52416.0,0.042735042735042736,270620.0,7645.234375,528.875,3104.0,63360.0,0.04898989898989899,135392.0,8173.632568359375,528.234375,65312.0,54592.0,1.1963657678780775,135228.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
32.0,32.0,63.0,47.0,0.0,7104.712646484375,545.078125,6432.0,55872.0,0.11512027491408934,279080.0,11068.583740234375,514.203125,1760.0,49664.0,0.035438144329896906,131636.0,1234.310302734375,575.953125,3616.0,6208.0,0.5824742268041238,147444.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
64.0,32.0,95.0,47.0,0.0,45659.455017089844,259.8828125,5792.0,64480.0,0.08982630272952853,133060.0,44089.4365234375,412.96875,3840.0,60704.0,0.0632577754348972,105720.0,358.864990234375,106.796875,2432.0,3776.0,0.6440677966101694,27340.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
96.0,32.0,127.0,47.0,0.0,28356.979919433594,472.2265625,53696.0,7136.0,7.524663677130045,241780.0,40103.114990234375,382.796875,55488.0,7264.0,7.638766519823789,97996.0,615.5068359375,561.65625,63424.0,65408.0,0.9696673189823874,143784.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
128.0,32.0,159.0,47.0,0.0,191.060302734375,558.046875,64448.0,63840.0,1.0095238095238095,285720.0,173.0849609375,559.59375,768.0,61728.0,0.012441679626749611,143256.0,204.25,556.5,64480.0,2112.0,30.53030303030303,142464.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
160.0,32.0,191.0,47.0,0.0,541.4379272460938,548.5859375,62784.0,62880.0,0.9984732824427481,280876.0,338.1787109375,556.90625,65376.0,62688.0,1.0428790199081164,142568.0,606.241943359375,540.265625,63488.0,192.0,330.6666666666667,138308.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
192.0,32.0,223.0,47.0,0.0,253.41693115234375,519.0703125,63168.0,3968.0,15.919354838709678,265764.0,251.9375,524.25,64480.0,3840.0,16.791666666666668,134208.0,201.238037109375,513.890625,64416.0,128.0,503.25,131556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
224.0,32.0,255.0,47.0,0.0,391.06878662109375,496.4609375,62752.0,63936.0,0.9814814814814815,254188.0,257.359375,507.375,65056.0,65056.0,1.0,129888.0,286.544677734375,485.546875,64800.0,64416.0,1.0059612518628913,124300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
256.0,32.0,287.0,47.0,0.0,20773.7568359375,406.65625,41536.0,34816.0,1.193014705882353,208208.0,449.52734375,484.6875,1888.0,62656.0,0.03013278855975485,124080.0,28920.234375,328.625,41216.0,37696.0,1.0933786078098473,84128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
288.0,32.0,319.0,47.0,0.0,5838.62109375,457.0625,21280.0,52384.0,0.40623091020158825,234016.0,10826.8896484375,438.78125,19744.0,52032.0,0.3794587945879459,112328.0,181.9443359375,475.34375,1184.0,352.0,3.3636363636363638,121688.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
320.0,32.0,351.0,47.0,0.0,350.9375,459.75,61664.0,62560.0,0.9856777493606138,235392.0,502.906005859375,461.015625,62176.0,64352.0,0.966185977125808,118020.0,195.765380859375,458.484375,64544.0,63744.0,1.0125502008032128,117372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
352.0,32.0,383.0,47.0,0.0,4339.369567871094,410.7109375,49888.0,54016.0,0.9235781990521327,210284.0,450.49609375,453.0625,63136.0,62784.0,1.0056065239551477,115984.0,4640.933349609375,368.359375,52544.0,56768.0,0.9255918827508456,94300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
384.0,32.0,415.0,47.0,0.0,3234.9140014648438,304.4921875,60288.0,36640.0,1.6454148471615722,155900.0,3688.234375,315.625,64128.0,54560.0,1.175366568914956,80800.0,2533.714599609375,293.359375,62176.0,47616.0,1.305779569892473,75100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
0.0,48.0,31.0,63.0,0.0,2977.2646484375,543.78125,640.0,51616.0,0.012399256044637322,278416.0,3886.656005859375,538.984375,64480.0,50400.0,1.2793650793650793,137980.0,2021.853271484375,548.578125,1216.0,1216.0,1.0,140436.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
32.0,48.0,63.0,63.0,0.0,9844.421875,514.375,62432.0,51232.0,1.2186133666458463,263360.0,11354.454833984375,463.671875,576.0,65152.0,0.008840864440078585,118700.0,3192.775146484375,565.078125,61664.0,51616.0,1.194668319900806,144660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
64.0,48.0,95.0,63.0,0.0,27301.0458984375,326.28125,54880.0,5120.0,10.71875,167056.0,31575.75,386.5,24800.0,46112.0,0.5378209576682859,98944.0,15773.74609375,266.0625,28896.0,24544.0,1.1773142112125163,68112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
96.0,48.0,127.0,63.0,0.0,4981.646240234375,560.203125,9280.0,63552.0,0.14602215508559918,286824.0,9098.677490234375,551.203125,12640.0,60864.0,0.20767613038906416,141108.0,702.614990234375,569.203125,61632.0,2688.0,22.928571428571427,145716.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
128.0,48.0,159.0,63.0,0.0,206.81292724609375,556.5859375,64000.0,4480.0,14.285714285714286,284972.0,134.396240234375,559.796875,864.0,608.0,1.4210526315789473,143308.0,258.609375,553.375,63488.0,3872.0,16.39669421487603,141664.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
160.0,48.0,191.0,63.0,0.0,2548.7196655273438,529.6953125,57344.0,61216.0,0.9367485624673288,271204.0,402.460693359375,550.734375,480.0,384.0,1.25,140988.0,3809.6943359375,508.65625,57184.0,60832.0,0.9400315623356128,130216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
192.0,48.0,223.0,63.0,0.0,3686.669677734375,468.453125,1952.0,57856.0,0.03373893805309734,239848.0,3669.316162109375,472.609375,3520.0,60768.0,0.057925223802001054,120988.0,3669.474365234375,464.296875,63936.0,62624.0,1.020950434338273,118860.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
224.0,48.0,255.0,63.0,0.0,3464.5057983398438,459.3671875,65024.0,57984.0,1.1214128035320088,235196.0,3847.37109375,461.0625,65408.0,61216.0,1.0684788290642968,118032.0,3075.892333984375,457.671875,64928.0,62304.0,1.042116076014381,117164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
256.0,48.0,287.0,63.0,0.0,14462.735778808594,471.3515625,47008.0,25728.0,1.8271144278606966,241332.0,2863.8818359375,454.34375,992.0,64128.0,0.015469061876247504,116312.0,25483.058349609375,488.359375,56384.0,27136.0,2.077830188679245,125020.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
288.0,48.0,319.0,63.0,0.0,9219.101318359375,446.765625,24416.0,18720.0,1.3042735042735043,228744.0,17079.630615234375,422.703125,24352.0,18176.0,1.3397887323943662,108212.0,200.564208984375,470.828125,128.0,544.0,0.23529411764705882,120532.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
320.0,48.0,351.0,63.0,0.0,307.18695068359375,458.0234375,61568.0,1280.0,48.1,234508.0,369.52734375,461.6875,62784.0,64704.0,0.9703264094955489,118192.0,217.995849609375,454.359375,64192.0,2112.0,30.393939393939394,116316.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
352.0,48.0,383.0,63.0,0.0,2555.3124389648438,393.9921875,56160.0,12544.0,4.4770408163265305,201724.0,908.6787109375,426.90625,59328.0,6144.0,9.65625,109288.0,2035.275146484375,361.078125,62624.0,6400.0,9.785,92436.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
384.0,48.0,415.0,63.0,0.0,4097.455017089844,340.1171875,55616.0,21696.0,2.5634218289085546,174140.0,2781.6787109375,380.90625,3520.0,15904.0,0.22132796780684105,97512.0,2085.736083984375,299.328125,52448.0,5792.0,9.05524861878453,76628.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,32,16
