,s0,s1,s2,s3,s4,s5,s6
frameWidth,0.01573291528312004,0.014267829447055513,0.05140734404565106,0.06879484205505415,0.042740372922720926,0.03697310211928628,0.024422478334097386
frameHeight,0.011314746201664505,0.016506125795846538,0.06029595567666557,0.08678661685312195,0.06753580940610182,0.06380638417953377,0.06262874816012709
paramQP,0.04144934251429988,0.031581914438071124,0.012552124173059065,0.011901762318682119,0.0156334395584381,0.01952682367428271,0.024109095004247072
topLeft_x,0.011428902850794342,0.005233298862744595,0.017088580177385904,0.026186872411058326,0.010079869172754163,0.0046963401261881366,0.0043722823748846285
topLeft_y,0.008144954240418167,0.006091363479282297,0.02053580518378273,0.02481863836617748,0.011328768971557324,0.007761597020494726,0.010148198652853546
bottomRight_x,0.011097383105283187,0.00929115756874821,0.01927164088497979,0.025460015471223674,0.010489635336058623,0.005871275763712047,0.00547809750260031
bottomRight_y,0.004740091167420468,0.010355480799076666,0.01859898746524724,0.024580969690485288,0.012216701983376987,0.008966447367936947,0.009717537653284092
POC,0.022464238221874266,0.021470298717128466,0.02847770589241949,0.036039429410533064,0.02617163960140312,0.024607172981056857,0.029789940343461607
variance,0.17036740301208986,0.14506976007491135,0.38558217684090335,0.24491399631231903,0.11725295658257617,0.07859189449383575,0.04976375300604863
mean,0.1591336891609747,0.13250633225208008,0.35990538325457755,0.1812825985355686,0.0755274000706534,0.042148755533902627,0.02502530294485461
gradientH,0.07589817168470625,0.05637436062561507,0.08580810575001685,0.05415789303841012,0.022042463728506823,0.01631124975647613,0.0070265284925197236
gradientV,0.07852386548960966,0.047448921980341785,0.08687752535475868,0.053327244809936,0.028635602159069462,0.02283739345870872,0.01442794690680227
ratioGrad,0.12063604423449892,0.1030047795203195,0.3368731032751413,0.1563260336101453,0.06900411464670753,0.04506995717276441,0.03233232552619825
sum,0.15752114450359866,0.13217799708259959,0.34506602429077016,0.17789457511912232,0.07507292659029363,0.04314338682210517,0.025165486194592024
quarter1Var,0.17414209611778797,0.14800180641241245,0.3118303817128165,0.18615821096965335,0.07629963190041922,0.05394590296974533,0.027394163084183187
quarter1Mean,0.15545430767366542,0.13430343555517288,0.2749172646233393,0.12963166730111442,0.040198225103127205,0.026001093908334383,0.014918266468977093
quarter1GradH,0.08378999475526716,0.05138837443552369,0.0748239279236711,0.06085578720832241,0.02673150802420854,0.02084963531986528,0.006901950680872959
quarter1GradV,0.08278375238823665,0.04995488043571039,0.07430089043959875,0.05540992941399159,0.028806279024385706,0.021385189581551556,0.01230146498847362
quarter1RatioGrad,0.12605890559196165,0.1071109577953877,0.24424221726530404,0.10865210248563217,0.04254207677062549,0.027407709369229316,0.01672538530921286
quarter1Sum,0.15574339971886486,0.13488089532837733,0.2721873928339813,0.11999129311677614,0.03392021160460623,0.01840055191912171,0.011666675464632403
quarter2Var,0.16697417168256412,0.15055574490210089,0.3157519631141532,0.19169888582906913,0.0795714185505465,0.056746029355407845,0.03136383103488205
quarter2Mean,0.1558373414332228,0.12677629398985935,0.27089000372461647,0.12662388549390569,0.0417413774681854,0.026747821352692158,0.016718761516947067
quarter2GradH,0.07943948909538312,0.05151644191103566,0.07661541882107725,0.06237674190235887,0.026676190891925522,0.0206534431326848,0.008576122345013815
quarter2GradV,0.07625612320677155,0.05584165538568597,0.08225273244105313,0.0623772015877051,0.0316317916588742,0.024221720939192837,0.014919290092689108
quarter2RatioGrad,0.12511713757189735,0.108659780922155,0.24778138590053822,0.11279848033485274,0.04123625546318754,0.028582658955206952,0.019563245236414506
quarter2Sum,0.15495255683089226,0.1265151574708323,0.266911014452182,0.12713713751684286,0.041968191378021436,0.026705238248849295,0.01745920159244596
quarter3Var,,,0.11957259574504664,0.060945640404088675,0.03435416590249951,0.01723079598031707,0.011370260691186074
quarter3Mean,,,0.11433290583373723,0.05342452455824054,0.019614693429650387,0.010084322433225656,0.007146717775915246
quarter3GradH,,,0.09490720981957423,0.04573491528857132,0.014363563302103088,0.0065357334673643575,0.0020722586804069465
quarter3GradV,,,0.09587024653967902,0.04624006718197271,0.014293920447012942,0.007889059197503157,0.007523127177400335
quarter3RatioGrad,,,0.1124810452440057,0.05609654287211807,0.021582355086720018,0.01344495551320879,0.00974229828683204
quarter3Sum,,,0.11309181767969023,0.05379924363582789,0.022182445548005747,0.010397290113259183,0.006524563133343264
CU_width,,,,0.03402492889668385,0.02800871959052742,0.03123836764064336,0.026859995523259794
CU_height,,,,0.030656611011781187,0.027345962421770675,0.03188537373769762,0.02563056544546516
